keyword,sw,positive_occurrences,negative_occurences
from your,0.5605261238806303,25,1
just chill,1.0,22,0
https:/,1.0,80,0
share with,0.33096556093052126,13,1
cnbc just,0.33096556093052126,13,1
shorting more,-1.0,0,3
for bounce,0.42889982464152954,34,2
that most,-0.5882530720071828,4,3
numbertag fork,-0.615589775930853,6,5
go numbertag,0.5861910512908711,113,4
selling !,0.3636917683848907,43,3
see lot,0.33096556093052126,13,1
full of,0.3053484765304754,37,3
lets,0.47544032839382105,1103,51
cashtag dropping,-0.8770513455120647,8,30
leading,0.32459672572739323,52,4
signed,0.5937978566725238,28,1
leak,-0.7569110345086869,2,3
still hodling,0.4892415452180471,20,1
boys will,-0.8380060981530074,2,5
cashtag xmas,0.41048491072719356,16,1
dcix,-0.5882530720071828,4,3
cat,-0.8009781219169916,29,63
to short,-0.6059006987595523,124,111
breaks it,-0.6222679317559515,7,6
cashtag longs,-0.6066305961787865,11,9
trading air,-1.0,0,4
order books,-0.7569110345086869,2,3
out soon,0.5206215071792827,22,1
of y,-0.6053849026073074,5,4
meth,-0.7316397223754122,3,4
turd !,-1.0,0,3
with quot,-0.6053849026073074,5,4
is finished,-0.6618893811456463,7,7
cashtag warns,-1.0,0,7
qtum,1.0,19,0
is junk,-0.7569110345086869,2,3
to him,-0.6668411526007956,3,3
bitcoin bulls,-0.7320068747573828,8,11
and customers,-1.0,0,3
n korea,-0.7165349290792797,4,5
cashtag patience,0.7559412512225991,56,1
it moves,0.4325969275284307,17,1
we still,1.0,38,0
peter schiff,-1.0,0,3
will miss,1.0,23,0
cashtag countdown,-0.5508423516510951,6,4
else ?,0.4717857232851775,19,1
cashtag bury,-0.8920975297143242,1,4
end you’re,-1.0,0,3
buy linktag,0.548056428133535,24,1
coinbase ?,0.5415352615262106,122,5
to ethereum,0.38638169238870973,15,1
played by,-0.8062277664267054,2,4
and getting,0.3125256804768438,25,2
numbertag profit,0.3531214523273957,56,4
cashtag red,-0.5489907148442429,22,15
cashtag cultists,-1.0,0,3
! take,0.33096556093052126,13,1
for dips,0.33096556093052126,13,1
fellow,0.7823292064718487,65,1
cashtag yess,0.6535759760659612,35,1
we love,0.4325969275284307,17,1
numbertag ethereum,0.5605261238806303,25,1
on tight,0.7072345518767748,44,1
discount,0.6146815718116053,158,5
huge buy,1.0,29,0
😇,1.0,28,0
i️ will,-0.8629774896379377,1,3
working again,-0.8629774896379377,1,3
hodl quot,-0.6610141220699497,8,8
wolves,-0.9387298340690824,3,25
retails,-0.8629774896379377,1,3
up being,-0.6053849026073074,5,4
announcement,0.4570105578766516,113,6
bag holder,-0.5936596816650525,14,11
buyying,-1.0,0,3
be great,0.525306586391217,92,4
get this,0.34568607897144144,168,12
already !,0.6462344445572544,34,1
dilution,-0.615589775930853,6,5
better then,1.0,27,0
dub,-0.8062277664267054,2,4
! 🚀🚀,1.0,90,0
down down,-0.9251215946529197,6,41
if so,0.621999873317919,31,1
any gains,-0.8629774896379377,1,3
invisible,-0.6668411526007956,3,3
investment in,0.395246179217781,31,2
soon it,0.548056428133535,24,1
cashtag fair,-0.615589775930853,6,5
xvg is,1.0,32,0
is peak,-1.0,0,3
b cash,-0.6668411526007956,3,3
their chops,-0.8629774896379377,1,3
negtag_santa,-1.0,0,3
top in,-0.7639719779296718,5,8
ath numbertag,1.0,60,0
at coinbase,0.41815284065348585,33,2
square,0.5937978566725238,28,1
minds,0.3125256804768438,25,2
that anyone,-0.6668411526007956,3,3
soon buy,0.33096556093052126,13,1
buy for,0.43921519910223294,35,2
wyrify,1.0,26,0
indices,-0.8629774896379377,1,3
enjoying,0.3547389060198104,42,3
cashtag negtag_support,-1.0,0,4
out asap,-0.8629774896379377,1,3
x ltc,1.0,24,0
downtrend to,-1.0,0,5
😏,1.0,29,0
very interesting,0.3125256804768438,25,2
ray dalio,-0.7569110345086869,2,3
we do,0.4586545420650661,37,2
most cryptos,-0.6668411526007956,3,3
little bit,0.4083888163502418,65,4
new floor,0.3427868649176434,27,2
grab,0.3130090752164454,102,8
losing cashtag,-1.0,0,3
intermidiate,-1.0,0,3
bearish,-0.6213183414443306,322,330
are we,0.4069143942695903,165,10
their view,-1.0,0,3
speculation on,-1.0,0,3
or to,-0.665267278650777,4,4
what ride,0.4717857232851775,19,1
mania,-0.6909267873246494,39,47
promises,-0.8920975297143242,1,4
again !,0.34738493968993656,212,15
going bankrupt,-0.8629774896379377,1,3
breaking support,-1.0,0,3
imf,-0.6222679317559515,7,6
haha !,0.452962109831533,18,1
of crap,-0.8380060981530074,2,5
numbertag negtag_support,-1.0,0,3
this trash,-0.9557030344105499,2,24
to rip,1.0,79,0
grinch,-0.5882530720071828,4,3
nano,0.7823292064718487,65,1
iota will,0.38638169238870973,15,1
pitchfork crypto,-0.665267278650777,4,4
t pay,-0.7165349290792797,4,5
canceled,-0.7569110345086869,2,3
sliced,-1.0,0,3
more time,0.395246179217781,31,2
actually believe,-0.8629774896379377,1,3
help you,-0.638452575716559,14,13
jung,-0.5508423516510951,6,4
dragon,0.5833362974794111,27,1
making numbertag,0.4325969275284307,17,1
week !,0.42160561418093273,102,6
christmas isn’t,-0.8629774896379377,1,3
but down,-0.8602936246701989,2,6
point ?,0.32803603217421423,26,2
😈 😈,-1.0,0,17
cashtag lower,-0.8597214241413234,12,39
pussies,1.0,44,0
main reason,-0.7569110345086869,2,3
bought in,0.5065085607578659,154,7
is flowing,0.33096556093052126,13,1
line numbertag,-0.5882530720071828,4,3
buying more,0.6537819315930375,223,6
up looking,-0.5882530720071828,4,3
reset,0.41048491072719356,16,1
cashtag roger,-0.7508803610695988,6,9
and dump,-0.7316990357479459,72,110
year at,0.4325969275284307,17,1
negtag_buy bitcoin,-1.0,0,3
dreamer,-0.8062277664267054,2,4
coin in,0.5560615106987576,50,2
🚂,0.6130870664470991,30,1
bears ?,0.7379643337145201,51,1
real deal,0.404593113429051,48,3
negtag_future,-0.7741206492801359,3,5
so sorry,-0.6053849026073074,5,4
ytd,0.452962109831533,18,1
ziddu coins,-1.0,0,9
elevator down,-0.8629774896379377,1,3
grandma just,-0.5882530720071828,4,3
by february,0.6304742720550841,32,1
buy hold,0.6673023320733663,37,1
forced you,-1.0,0,3
get cashtag,0.3392062958817866,54,4
let’s go,0.6644038144068399,274,7
goo,0.7232472505539272,415,8
against btc,0.4892415452180471,20,1
fork will,-0.5882530720071828,4,3
bearish as,-0.8062277664267054,2,4
only worth,-0.8920975297143242,1,4
up forever,-0.6822117066627913,10,11
buyers be,-1.0,0,4
baghodlers,-1.0,0,17
took it,-0.5882530720071828,4,3
finite,-0.6010662452836936,10,8
diversify,0.5891855914749881,56,2
jumping out,-0.6668411526007956,3,3
still can’t,-0.7316397223754122,3,4
should buy,0.6605913234921311,36,1
promising,0.31701430107238504,51,4
litecoin on,0.548056428133535,24,1
finally broke,0.41048491072719356,16,1
boss,0.4933825402370701,41,2
how quickly,-0.665267278650777,4,4
🙌🏻,1.0,21,0
sell folks,-1.0,0,3
history repeats,-0.626915619318665,8,7
be awesome,0.452962109831533,18,1
fo,0.4325969275284307,17,1
create it,-0.7569110345086869,2,3
m buying,0.7823292064718487,65,1
fomo buyers,-0.7063798059533952,5,6
mass exit,-1.0,0,3
verge,0.5796990943489284,315,11
cashtag bout,0.4933825402370701,41,2
these gains,0.41048491072719356,16,1
ca cashtag,-1.0,0,3
dumping cashtag,-0.8268309864242139,3,7
added cashtag,0.38638169238870973,15,1
wall at,0.3814751558364274,138,9
and insiders,-1.0,0,4
and smell,-0.8629774896379377,1,3
bubble bursts,-0.7063798059533952,5,6
r i,-0.7122320795783296,8,10
to collapse,-0.7810246313013185,4,7
if only,0.3053484765304754,37,3
eoy,0.47157814794625497,451,22
hell yeah,1.0,35,0
work !,0.4325969275284307,17,1
looks bearish,-0.9232226479868434,1,6
btfd and,0.4717857232851775,19,1
! im,0.41048491072719356,16,1
supported by,-0.7316397223754122,3,4
catch knife,-0.8062277664267054,2,4
to reduce,-0.6668411526007956,3,3
already cashtag,0.38638169238870973,15,1
teeth,0.33096556093052126,13,1
so dumb,0.3599938307570252,14,1
notes on,-0.8629774896379377,1,3
you poor,-1.0,0,3
bloody,-0.5641083732787029,25,18
now down,-0.7810246313013185,4,7
imaginary coin,-1.0,0,3
get them,1.0,24,0
like watching,0.5722646622794828,26,1
already lost,-0.5882530720071828,4,3
vegas lol,-1.0,0,3
made numbertag,0.4493665314723099,73,4
on rise,1.0,42,0
anyone think,0.5833362974794111,27,1
structural,-1.0,0,3
iot,0.6215599404113145,63,2
bonus,0.5436535492198763,48,2
buy more,0.5122282584576054,687,29
coffin,-0.8062277664267054,2,4
dip at,0.3053484765304754,37,3
to launch,0.6857999920691883,40,1
by year,0.4851707784046902,40,2
dive,-0.7770232636810276,15,27
💨,1.0,24,0
can start,0.452962109831533,18,1
still trying,0.4325969275284307,17,1
regulated and,-0.8629774896379377,1,3
going long,0.5833362974794111,27,1
hasn,0.3726554938322466,74,5
up w,-0.5882530720071828,4,3
touch this,-0.753291534561236,4,6
cup and,0.47863816975933404,162,8
dropping like,-0.8346807051807111,4,10
pay price,-1.0,0,4
in if,1.0,21,0
inception of,-1.0,0,3
learn how,0.39688885859990947,47,3
street’,-1.0,0,3
? sounds,-0.7316397223754122,3,4
as always,0.5347826218959549,23,1
collapsing,-0.6933938163008592,7,8
pump before,-0.8920975297143242,1,4
😷 😷,-1.0,0,3
trump will,-0.7569110345086869,2,3
numbertag watching,0.5054777494347722,21,1
cashtag koreans,-0.6053849026073074,5,4
news linktag,1.0,37,0
run out,-0.5625258061800908,10,7
dump now,-0.7569110345086869,2,3
gonna fly,1.0,30,0
again cashtag,0.3636917683848907,43,3
guess what,0.6673023320733663,37,1
retirement,0.41208032184630966,49,3
smart folks,-1.0,0,3
stay strong,1.0,34,0
great time,0.6128992662171754,61,2
at btc,0.5722646622794828,26,1
coinbase cashtag,0.4717857232851775,19,1
litecoin has,0.3427868649176434,27,2
artist,-0.7063798059533952,5,6
left you,-0.8629774896379377,1,3
impressive,0.4529355892472113,55,3
acct,0.39688885859990947,47,3
completes,-0.6668411526007956,3,3
week this,1.0,25,0
sha numbertag,-0.8629774896379377,1,3
crash is,-0.7040565752105166,17,21
whoo,0.38638169238870973,15,1
all were,-0.7569110345086869,2,3
brewing,0.5347826218959549,23,1
cashtag negtag_so,-0.7316397223754122,3,4
eth at,1.0,20,0
keep it,0.48513454984627125,102,5
cashtag buh,-0.5882530720071828,4,3
going be,-0.5938593152993882,9,7
bitcoins you,-0.8629774896379377,1,3
picking,0.5595276001265793,103,4
cashtag boom,0.6048123891884527,313,10
is fraud,-0.6066305961787865,11,9
siacoin,0.5605261238806303,25,1
give back,-0.9104912270549623,1,5
trend over,-0.8629774896379377,1,3
moly,1.0,19,0
gonna burst,-0.8062277664267054,2,4
ccidivergence,-1.0,0,3
tick toc,-1.0,0,3
meh,0.4325969275284307,17,1
broke through,0.41048491072719356,16,1
negtag_worth risk,-0.7569110345086869,2,3
year quot,-1.0,0,4
tether,-0.6628650039744796,6,6
crash like,-0.9232226479868434,1,6
will lose,-0.6669201463415356,19,20
miss out,0.8516489469649254,106,1
koolaid,-0.8444054262760149,3,8
cashtag 😂,-0.7475117201085609,37,59
is yet,-0.5842211290173311,8,6
worked,0.31701430107238504,51,4
tables,-0.6668411526007956,3,3
its up,0.38638169238870973,15,1
bankrupt,-0.8192709649051996,7,16
cashtag what’s,0.36821544641658294,103,7
fucked,-0.6550069088508014,18,18
great coin,0.41048491072719356,16,1
in something,-0.5574588168257721,13,9
at ?,0.30703466744619584,75,6
standard,0.5891855914749881,56,2
your chance,0.7340122950175694,50,1
got more,1.0,36,0
still going,0.31701430107238504,51,4
paying numbertag,-0.753291534561236,4,6
litecoin at,0.4717857232851775,19,1
has negtag_value,-0.8920975297143242,1,4
don’t sell,0.7406272177730953,106,2
posting on,-1.0,0,5
numbertag since,0.5757063085193862,81,3
more intelligent,-1.0,0,3
please be,-0.5882530720071828,4,3
verge is,0.6673023320733663,37,1
question of,-0.8629774896379377,1,3
heartbroken,-1.0,0,3
see correction,-0.7316397223754122,3,4
what bubble,-0.5882530720071828,4,3
😉,0.42453924740231436,68,4
wise to,-0.5882530720071828,4,3
already up,0.32803603217421423,26,2
bitcoin dollar,-0.7741206492801359,3,5
enjoy ride,0.3636917683848907,43,3
lose it,-0.7883234948429152,8,15
short usertag,-0.9325878416259193,1,7
add cashtag,0.6036997936124114,29,1
humble,0.3599938307570252,14,1
is trying,0.37023061797052936,29,2
easier,0.6451506882247304,69,2
tied,0.5347826218959549,23,1
had their,0.3599938307570252,14,1
my positions,0.33096556093052126,13,1
site is,0.3599938307570252,14,1
are clearly,-0.6668411526007956,3,3
decrease,-0.5938593152993882,9,7
tossed,-0.7569110345086869,2,3
enron,-0.8951005663524222,3,13
fan boys,-1.0,0,3
regulators,-0.6822117066627913,10,11
s dropping,-0.7316397223754122,3,4
breakout ?,0.5054777494347722,21,1
down too,-0.5938593152993882,9,7
on some,0.6385427048478118,33,1
goes i,-0.7569110345086869,2,3
cashtag dips,1.0,39,0
ether and,0.5347826218959549,23,1
it touches,-0.7569110345086869,2,3
holding btc,-0.5882530720071828,4,3
back under,-0.7550318860789119,9,14
exists,-0.6222679317559515,7,6
tripled,0.5937978566725238,28,1
months !,0.3599938307570252,14,1
short btc,-0.6594849777798674,10,10
selling will,-0.6618893811456463,7,7
down with,-0.6019768202426663,16,13
blood is,-0.7569110345086869,2,3
propped,-0.665267278650777,4,4
nd,0.4717857232851775,19,1
ask yourself,-0.5327521996266263,11,7
push through,0.3599938307570252,14,1
people !,0.36241288837318086,72,5
bubble when,-0.5882530720071828,4,3
of 💩,-1.0,0,3
chart numbertag,0.4717857232851775,19,1
explode !,1.0,25,0
of best,0.40694545234051327,32,2
massive disruptions,-1.0,0,3
short bitcoin,-0.5749659345665985,37,28
obama,-0.7316397223754122,3,4
on new,0.4892415452180471,20,1
in hope,-0.7569110345086869,2,3
new to,0.675033251565486,78,2
been consolidating,0.3599938307570252,14,1
funds to,0.7167979200403758,46,1
spreads,-0.5484319463767086,9,6
shut this,-1.0,0,7
mobicoin,0.4717857232851775,19,1
down lol,0.3599938307570252,14,1
cow,0.6130870664470991,30,1
be stubborn,-1.0,0,3
horrible,-0.5484319463767086,9,6
what was,0.5347826218959549,23,1
per coin,0.4037054271396771,97,6
avg,0.5626493270106127,131,5
to explode,0.7606580645573842,118,2
really good,0.6798892495419196,39,1
bulls are,-0.6292522008819237,45,42
to listen,-0.5707693837642815,7,5
have big,1.0,21,0
takeoff,1.0,53,0
in lol,1.0,21,0
out above,0.4717857232851775,19,1
slow bleed,-0.8700817629802696,3,10
from rich,-0.8629774896379377,1,3
babies and,-1.0,0,3
tulip mania,-0.728089442748695,11,15
t stop,0.4012702456958699,80,5
numbertag hope,0.4325969275284307,17,1
m sorry,-0.7320068747573828,8,11
my entire,0.4325969275284307,17,1
get for,-0.6668411526007956,3,3
cashtag buyer,-0.7165349290792797,4,5
shout,1.0,29,0
cashtag of,0.34609606053740893,83,6
dump when,-0.8629774896379377,1,3
will price,-0.7316397223754122,3,4
sorry guys,-0.553895279291645,16,11
you belong,-0.6668411526007956,3,3
more !,0.4401452609761335,219,12
and were,0.38638169238870973,15,1
numbertag sats,0.7897261667488816,140,2
watching cashtag,0.5347826218959549,23,1
thanks,0.3922044442343093,524,32
they missed,1.0,21,0
i dare,0.41048491072719356,16,1
downward channel,-0.6668411526007956,3,3
my favorite,0.7490844270113381,54,1
last couple,0.395246179217781,31,2
just wow,0.42889982464152954,34,2
gon,0.33096556093052126,13,1
cashtag go,0.3192536727063219,318,24
propping,-1.0,0,4
is low,0.38638169238870973,15,1
sketchy,-0.6639734443552776,5,5
longs continue,-1.0,0,3
bought dip,0.591479570353506,145,5
it stays,0.4325969275284307,17,1
buy alts,-0.5882530720071828,4,3
t going,0.4491253577678456,36,2
be pulled,-0.8629774896379377,1,3
doubters,0.4717857232851775,19,1
huge !,1.0,45,0
ltc cashtag,1.0,24,0
comes bull,-1.0,0,3
was stupid,-0.8629774896379377,1,3
bears now,0.41048491072719356,16,1
is released,0.452962109831533,18,1
lmao at,-0.6053849026073074,5,4
get burned,-0.5818461194963803,21,16
haircut,-0.8467939920167757,4,11
boys are,-0.6374896704454571,13,12
currently at,0.452962109831533,18,1
cheap shares,1.0,21,0
join us,0.548056428133535,24,1
to hop,0.38638169238870973,15,1
last month,0.3723707167173832,44,3
😂 😂,-0.9236148777445663,6,40
altcoins are,-0.6053849026073074,5,4
for new,0.3213503464241862,91,7
below that,-0.5508423516510951,6,4
is fucking,0.4717857232851775,19,1
week is,1.0,21,0
next up,0.5833362974794111,27,1
thoughts ?,0.4297049277608655,69,4
numbertag years,0.31511347020959435,436,33
💩💩,-1.0,0,14
for crash,-0.5731991599262914,11,8
than make,-0.8629774896379377,1,3
translate,-0.7569110345086869,2,3
of bubble,-0.7408711386821301,11,16
fail to,-0.6628650039744796,6,6
lisk,0.6605913234921311,36,1
i bought,0.4761901081880154,501,24
feds are,-0.8920975297143242,1,4
omg i,0.5054777494347722,21,1
chart shows,0.41048491072719356,16,1
breather,0.3319916680094358,53,4
jong un,-0.6668411526007956,3,3
c,0.34563421902427893,211,15
it’s pump,-0.8629774896379377,1,3
made and,-0.8062277664267054,2,4
cryptoruble,-1.0,0,3
go into,0.5206215071792827,22,1
amp forecasting,-1.0,0,7
solid,0.42578735858884065,228,13
eoy !,0.5722646622794828,26,1
cronies,1.0,30,0
anymore this,-0.7569110345086869,2,3
shaping,-0.5882530720071828,4,3
bears and,0.725701262529404,48,1
down coming,-0.7569110345086869,2,3
sells and,-0.5707693837642815,7,5
keep up,0.7167979200403758,46,1
check cashtag,0.33096556093052126,13,1
then go,0.3599938307570252,14,1
bleeding,-0.5818461194963803,21,16
linktag bitstamp,-1.0,0,4
before fork,0.32803603217421423,26,2
basics of,1.0,31,0
darkweb,-0.8896486967897889,2,8
lose everything,-0.8700817629802696,3,10
bearish trend,-0.8444054262760149,3,8
more at,0.6913026043720863,217,5
thinking of,0.43921519910223294,35,2
cashtag ripple,0.4558158035297168,269,14
go from,0.3427868649176434,27,2
dealer,-0.7569110345086869,2,3
move lower,-0.8629774896379377,1,3
danger’ and,-1.0,0,3
numbertag satoshi,1.0,63,0
numbertag lets,0.45404661476317665,74,4
jual,-1.0,0,3
me linktag,-0.6668411526007956,3,3
blew it,-1.0,0,4
outlawed,-0.6639734443552776,5,5
my investment,0.621999873317919,31,1
day chart,0.3599938307570252,14,1
s over,-0.5680871127425049,22,16
central bank,0.452962109831533,18,1
trump has,-0.8629774896379377,1,3
from below,-0.7569110345086869,2,3
deng,-0.7569110345086869,2,3
congrats,0.4724332273414312,346,17
sbi,0.41048491072719356,16,1
negtag_thanks,-0.7508803610695988,6,9
forget it,1.0,25,0
🌷 for,-1.0,0,3
numbertag ltc,0.6973017351439631,86,2
crash so,-0.665267278650777,4,4
worthless crap,-1.0,0,5
this hype,-0.9325878416259193,1,7
unbelievable,0.4529355892472113,55,3
beautiful chart,0.33096556093052126,13,1
cashtag fall,-0.8998702086067211,2,9
on that,0.6940026889028541,129,3
cashtag grandma,-0.6668411526007956,3,3
it when,0.3723707167173832,44,3
balloon,-0.7063798059533952,5,6
from linktag,-0.6852727053738603,9,10
is dip,0.38078862968527,45,3
chuckecheese,-0.8629774896379377,1,3
thailand,0.41048491072719356,16,1
coming down,-0.6680299024000699,18,19
is building,1.0,21,0
coiling,1.0,46,0
💪,1.0,56,0
baby drop,-0.5882530720071828,4,3
reached !,-0.8629774896379377,1,3
is sure,-0.7316397223754122,3,4
innovative,0.33096556093052126,13,1
or hold,0.4717857232851775,19,1
this pig,-0.8045738386856982,10,21
yawn,0.3790650783154824,60,4
cashtag omfg,0.4717857232851775,19,1
of missing,-0.665267278650777,4,4
numbertag million,0.3792836098831579,279,18
me what,0.5054777494347722,21,1
concerns,-0.5882530720071828,4,3
bitcf,1.0,31,0
loaded,0.8025846153971584,316,4
negtag_bounce,-0.9104912270549623,1,5
heard about,0.38638169238870973,15,1
limits,0.4933825402370701,41,2
goods,-0.665267278650777,4,4
i’m just,0.548056428133535,24,1
while we,0.5347826218959549,23,1
to warn,-0.8014929564035642,5,10
oxygen,-0.5882530720071828,4,3
cheapest,0.6304742720550841,32,1
hodl to,0.41048491072719356,16,1
merit,-0.7569110345086869,2,3
fate,-0.8062277664267054,2,4
sell call,-1.0,0,4
as buying,0.3599938307570252,14,1
scam since,-0.8629774896379377,1,3
banned in,-0.6668411526007956,3,3
way overbought,-1.0,0,3
silly,0.30703466744619584,75,6
its pump,-1.0,0,3
barber,-1.0,0,3
missed cashtag,0.33096556093052126,13,1
be allowed,-0.8629774896379377,1,3
👎,-0.939783098793956,1,8
wipe my,-0.8062277664267054,2,4
inverted cup,-1.0,0,4
kool,-0.6990181626188339,6,7
cashtag climb,0.33096556093052126,13,1
nav,0.548056428133535,24,1
feeling it,-0.5508423516510951,6,4
crashes,-0.6382557992045274,66,65
are green,0.41048491072719356,16,1
fuq,0.33096556093052126,13,1
linear regression,-0.8920975297143242,1,4
when bubble,-0.7569110345086869,2,3
trash ?,-0.8920975297143242,1,4
guys sell,-0.5882530720071828,4,3
trip,1.0,46,0
beauty,0.7417896639530573,52,1
releasing,0.38638169238870973,15,1
cashtag ✔bagholder,-1.0,0,5
gain in,1.0,22,0
cashtag ripping,1.0,44,0
charged up,-0.8629774896379377,1,3
sorry but,-0.7978205510593043,9,18
thanks !,0.5089653728522542,43,2
buy ltc,0.6462344445572544,34,1
why they,-0.553895279291645,16,11
some love,0.548056428133535,24,1
death cross,-1.0,0,13
crypto cult,-1.0,0,3
i’m still,0.4766574741137827,39,2
i’ll wait,-0.5707693837642815,7,5
lets do,0.7021812724445536,43,1
it lasts,-0.6639734443552776,5,5
that were,0.41048491072719356,16,1
in cryptos,0.6130870664470991,30,1
scheme and,-1.0,0,3
numbertag spot,0.6304742720550841,32,1
into bch,-0.665267278650777,4,4
cashtag mamas,-1.0,0,3
currency ?,-0.7122320795783296,8,10
eastern,1.0,25,0
mining bitcoin,0.38638169238870973,15,1
tomorrow ?,0.3889575719532016,46,3
getting slaughtered,-0.727630013083827,6,8
knifes,-1.0,0,3
girl,0.553721895226062,101,4
sell too,-0.5882530720071828,4,3
early,0.37745364248498936,486,31
still remains,-0.7569110345086869,2,3
their kids,-1.0,0,3
wraith,0.5913088067953908,175,6
image,-0.5484319463767086,9,6
you learned,-0.5882530720071828,4,3
what am,-0.5882530720071828,4,3
novogradtz,-1.0,0,3
justify,-0.753291534561236,4,6
you it,-0.5484319463767086,9,6
panic sold,1.0,49,0
christmas dinner,-0.5707693837642815,7,5
tulip bubble,-0.7569110345086869,2,3
to hell,-0.6852727053738603,9,10
fishy,-0.727630013083827,6,8
yikes !,-0.665267278650777,4,4
just dead,-1.0,0,3
damn this,0.32803603217421423,26,2
is everyone,0.3092368295158461,50,4
add some,0.38638169238870973,15,1
moving fast,0.3599938307570252,14,1
those cashtag,0.4325969275284307,17,1
we goo,0.4675657223504865,77,4
day for,0.4924721901521581,83,4
🤡🤡,-0.8920975297143242,1,4
symbol,0.40694545234051327,32,2
these poor,-0.7569110345086869,2,3
sadly,-0.5484319463767086,9,6
this straight,-0.8062277664267054,2,4
new support,0.5941836202563713,57,2
luck with,-0.8268309864242139,3,7
looking bearish,-0.9104912270549623,1,5
ripple will,0.3636917683848907,43,3
supports,-0.5625258061800908,10,7
wait it’s,-0.7741206492801359,3,5
benjamin,-1.0,0,4
negtag_yet,-0.5882117058568263,13,10
free bitcoin,0.4325969275284307,17,1
cashtag flush,-0.6990181626188339,6,7
next dump,-0.8629774896379377,1,3
buh bye,-0.8602936246701989,2,6
in previous,-0.5508423516510951,6,4
potcoin,1.0,26,0
trap right,-1.0,0,3
cream,1.0,20,0
thinking about,0.5891855914749881,56,2
cashtag live,1.0,22,0
numbertag shares,0.3378348893185509,95,7
! make,0.38638169238870973,15,1
numbertag i’m,0.395246179217781,31,2
numbertag usertag,0.5684512059056691,79,3
we just,0.3506310021202452,84,6
☃️,-1.0,0,3
gnt,0.4892415452180471,20,1
suggestions,1.0,29,0
tears temporarily,-1.0,0,3
cex,1.0,21,0
cashtag feds,-0.8062277664267054,2,4
had this,1.0,19,0
plunge,-0.6987731968966412,15,18
will fall,-0.8145423722692209,14,32
see chart,-0.7786901900357277,9,16
bears you,0.4325969275284307,17,1
sinks,-0.8380060981530074,2,5
sheets,-0.6668411526007956,3,3
cashtag rug,-1.0,0,6
reduce,-0.5882530720071828,4,3
crashing hard,-0.7810246313013185,4,7
short until,-1.0,0,4
i started,0.32803603217421423,26,2
of wall,-0.5731991599262914,11,8
gonna run,1.0,32,0
like tulip,-1.0,0,4
lower entry,-0.7316397223754122,3,4
short !,-0.7550318860789119,9,14
goin down,-0.8920975297143242,1,4
proceed,-0.7569110345086869,2,3
trading platform,1.0,20,0
pump and,-0.7085155048594255,88,121
get slaughtered,-0.6594849777798674,10,10
cashtag unless,-0.5625258061800908,10,7
t accept,-0.6668411526007956,3,3
negtag_done yet,-0.6053849026073074,5,4
dumpage,-1.0,0,11
average is,0.5937978566725238,28,1
next big,0.6052560418005132,90,3
weekly forecast,-0.8268309864242139,3,7
you lost,-0.6588050013079936,11,11
is bs,-0.7569110345086869,2,3
shoulders knees,-1.0,0,5
dump on,-0.770175509759412,6,10
won’t end,-1.0,0,3
in bearish,-0.7741206492801359,3,5
exchange linktag,-0.5508423516510951,6,4
to scare,1.0,25,0
ty,0.43921519910223294,35,2
in under,0.5163655847766233,44,2
